date,open,high,close,low,volume,price_change,p_change,ma5,ma10,ma20,v_ma5,v_ma10,v_ma20
2015-01-05,3258.627,3369.281,3350.519,3253.883,5313524.0,115.842,3.58,3215.326,3139.035,3055.096,4611777.3,4697849.47,4967771.04
2015-01-06,3330.799,3394.224,3351.446,3303.184,5016617.0,0.927,0.03,3254.095,3163.32,3075.786,4693698.8,4678437.68,4898351.74
2015-01-07,3326.649,3374.896,3373.954,3312.211,3919188.75,22.508,0.67,3295.282,3187.971,3093.471,4457313.65,4390984.65,4800525.72
2015-01-08,3371.957,3381.566,3293.456,3285.095,3711311.75,-80.498,-2.39,3320.81,3214.055,3115.33,4404125.35,4324353.43,4600092.11
2015-01-09,3276.965,3404.834,3285.412,3267.509,4102408.75,-8.044,-0.24,3330.957,3245.343,3132.601,4412610.05,4357789.05,4548769.1
2015-01-12,3258.213,3275.185,3229.316,3191.582,3220646.75,-56.096,-1.71,3306.717,3261.021,3147.779,3994034.6,4302905.95,4468485.06
2015-01-13,3223.542,3259.386,3235.301,3214.412,2307257.5,5.985,0.18,3283.488,3268.791,3162.636,3452162.7,4072930.75,4379107.54
2015-01-14,3242.337,3268.483,3222.437,3193.978,2401907.5,-12.864,-0.4,3253.184,3274.233,3176.087,3148706.45,3803010.05,4299017.06
2015-01-15,3224.07,3337.084,3336.455,3207.545,2825462.5,114.018,3.54,3261.784,3291.297,3191.833,2971536.6,3687830.98,4213368.84
2015-01-16,3343.603,3400.318,3376.495,3340.49,3398767.5,40.04,1.2,3280.001,3305.479,3207.607,2830808.35,3621709.2,4112055.61
2015-01-19,3189.727,3262.207,3116.351,3095.066,4010988.0,-260.144,-7.71,3257.408,3282.062,3210.549,2988876.6,3491455.6,4094652.54
2015-01-20,3114.56,3190.245,3173.052,3100.477,3570808.0,56.701,1.82,3244.958,3264.223,3213.772,3241586.7,3346874.7,4012656.19
2015-01-21,3189.085,3337.004,3323.611,3178.343,4109560.25,150.559,4.75,3265.193,3259.189,3223.58,3583117.25,3365911.85,3878448.25
2015-01-22,3327.319,3352.384,3343.344,3293.978,3533829.5,19.733,0.59,3266.571,3264.177,3239.116,3724790.65,3348163.63,3836258.53
2015-01-23,3357.096,3406.786,3351.764,3328.293,3662492.5,8.42,0.25,3261.624,3270.813,3258.078,3777535.65,3304172.0,3830980.53
2015-01-26,3347.257,3384.798,3383.182,3321.315,3175410.0,31.418,0.94,3314.991,3286.199,3273.61,3610420.05,3299648.33,3801277.14
2015-01-27,3389.853,3390.216,3352.96,3290.219,3745175.5,-30.222,-0.89,3350.972,3297.965,3283.378,3645293.55,3443440.13,3758185.44
2015-01-28,3325.722,3354.802,3305.738,3294.655,3019271.0,-47.222,-1.41,3347.398,3306.295,3290.264,3427235.7,3505176.48,3654093.26
2015-01-29,3258.997,3286.786,3262.305,3234.241,2746586.25,-43.433,-1.31,3331.19,3298.88,3295.089,3269787.05,3497288.85,3592559.91
2015-01-30,3273.747,3288.503,3210.363,3210.308,2583125.5,-51.942,-1.59,3302.91,3282.267,3293.873,3053913.65,3415724.65,3518716.93
2015-02-02,3148.136,3175.134,3128.3,3122.572,2508616.25,-82.063,-2.56,3251.933,3283.462,3282.762,2920554.9,3265487.48,3378471.54
2015-02-03,3156.086,3207.935,3204.907,3129.732,2481921.75,76.607,2.45,3222.323,3286.647,3275.435,2667904.15,3156598.85,3251736.78
2015-02-04,3212.822,3238.982,3174.126,3171.144,2490980.75,-30.781,-0.96,3196.0,3271.699,3265.444,2562246.1,2994740.9,3180326.38
2015-02-05,3251.212,3251.212,3136.531,3135.819,3061393.0,-37.595,-1.18,3170.845,3251.018,3257.598,2625207.45,2947497.25,3147830.44
2015-02-06,3120.09,3129.539,3075.907,3052.939,2467496.75,-60.624,-1.93,3143.954,3223.432,3247.122,2602081.7,2827997.68,3066084.84
2015-02-09,3063.51,3119.034,3095.124,3049.111,2061083.88,19.217,0.62,3137.319,3194.626,3240.413,2512575.23,2716565.06,3008106.69
2015-02-10,3090.49,3142.099,3141.593,3084.253,1938171.38,46.469,1.5,3124.656,3173.489,3235.727,2403825.15,2535864.65,2989652.39
2015-02-11,3145.765,3166.421,3157.704,3139.052,1728401.0,16.111,0.51,3121.372,3158.686,3232.491,2251309.2,2406777.65,2955977.06
2015-02-12,3157.959,3181.766,3173.416,3134.244,1945923.12,15.712,0.5,3128.749,3149.797,3224.339,2028215.23,2326711.34,2912000.09
2015-02-13,3186.808,3237.159,3203.827,3182.794,2612904.25,30.411,0.96,3154.333,3149.143,3215.705,2057296.73,2329689.21,2872706.93
2015-02-16,3206.137,3228.846,3222.363,3195.884,2237974.25,18.536,0.58,3179.781,3158.55,3221.006,2092674.8,2302625.01,2784056.24
2015-02-17,3230.884,3255.725,3246.906,3230.772,2283326.25,24.543,0.76,3200.843,3162.75,3224.699,2161705.77,2282765.46,2719682.16
2015-02-25,3256.479,3257.223,3228.843,3215.552,2333481.0,-18.063,-0.56,3215.071,3168.221,3219.96,2282721.77,2267015.49,2630878.19
2015-02-26,3222.151,3300.616,3298.359,3202.188,3012638.75,69.516,2.15,3240.06,3184.404,3217.711,2496064.9,2262140.06,2604818.66
2015-02-27,3296.831,3324.546,3310.303,3291.007,2991637.25,11.944,0.36,3261.355,3207.844,3215.638,2571811.5,2314554.11,2571275.89
2015-03-02,3332.721,3336.76,3336.285,3298.669,3464456.75,25.982,0.79,3284.139,3231.96,3213.293,2817108.0,2454891.4,2585728.23
2015-03-03,3317.695,3317.695,3263.052,3260.429,3820446.25,-73.233,-2.19,3287.368,3244.106,3208.798,3124532.0,2643118.89,2589491.77
2015-03-04,3264.182,3286.588,3279.533,3250.484,2936395.25,16.481,0.51,3297.506,3256.289,3207.487,3245114.85,2763918.31,2585347.98
2015-03-05,3264.085,3266.638,3248.476,3221.666,3206635.75,-31.057,-0.95,3287.53,3263.795,3206.796,3283914.25,2889989.58,2608350.46
2015-03-06,3248.036,3266.933,3241.187,3234.533,2829158.0,-7.289,-0.22,3273.707,3267.531,3208.337,3251418.4,2911614.95,2620652.08
2015-03-09,3224.314,3307.702,3302.408,3198.37,3214954.5,61.221,1.89,3266.931,3275.535,3217.042,3201517.95,3009312.98,2655968.99
2015-03-10,3289.085,3309.915,3286.068,3277.095,2858175.75,-16.34,-0.49,3271.534,3279.451,3221.101,3009063.85,3066797.93,2674781.69
2015-03-11,3289.594,3325.054,3290.9,3278.471,2829855.25,4.832,0.15,3273.808,3285.657,3226.939,2987755.85,3116435.35,2691725.42
2015-03-12,3314.813,3360.054,3349.323,3300.488,3572951.0,58.423,1.77,3293.977,3290.754,3237.579,3061018.9,3172466.58,2717303.32
2015-03-13,3359.488,3391.255,3372.911,3352.15,3284101.5,23.588,0.7,3320.322,3297.014,3252.429,3152007.6,3201713.0,2758133.56
2015-03-16,3391.158,3449.305,3449.305,3377.087,3991324.25,76.394,2.27,3349.701,3308.316,3270.138,3307281.55,3254399.75,2854645.58
2015-03-17,3469.603,3504.123,3502.847,3459.694,5209395.0,53.542,1.55,3393.057,3332.296,3288.201,3777525.4,3393294.63,3018206.76
2015-03-18,3510.501,3577.662,3577.301,3503.853,5452171.5,74.454,2.13,3450.337,3362.073,3309.181,4301988.65,3644872.25,3204395.28
2015-03-19,3576.019,3600.684,3582.271,3546.844,5373466.0,4.97,0.14,3496.927,3395.452,3329.623,4662091.65,3861555.28,3375772.43
2015-03-20,3587.084,3632.338,3617.318,3569.38,5166616.5,35.047,0.98,3545.808,3433.065,3350.298,5038594.65,4095301.13,3503458.04
2015-03-23,3640.104,3688.249,3687.728,3635.485,5360628.5,70.41,1.95,3593.493,3471.597,3373.566,5312455.5,4309868.53,3659590.75
2015-03-24,3692.569,3715.873,3691.41,3600.698,6395546.5,3.682,0.1,3631.206,3512.131,3395.791,5549685.8,4663605.6,3865201.76
2015-03-25,3680.953,3693.151,3660.727,3634.559,5218863.5,-30.683,-0.83,3647.891,3549.114,3417.386,5503024.2,4902506.43,4009470.89
2015-03-26,3641.942,3707.318,3682.095,3615.011,4886472.0,21.368,0.58,3667.856,3582.391,3436.572,5405625.4,5033858.53,4103162.55
2015-03-27,3686.134,3710.477,3691.096,3656.831,4089451.75,9.001,0.24,3682.611,3614.21,3455.612,5190192.45,5114393.55,4158053.28
2015-03-30,3710.612,3795.935,3786.568,3710.612,5647023.5,95.472,2.59,3702.379,3647.936,3478.126,5247471.45,5279963.47,4267181.61
2015-03-31,3822.987,3835.567,3747.899,3737.043,5616760.5,-38.669,-1.02,3713.677,3672.441,3502.369,5091714.25,5320700.03,4356997.33
2015-04-01,3748.34,3817.082,3810.294,3742.213,4474583.0,62.395,1.67,3743.59,3695.741,3528.907,4942858.15,5222941.18,4433906.71
2015-04-02,3827.689,3835.451,3825.784,3775.894,4792996.5,15.49,0.41,3772.328,3720.092,3557.772,4924163.05,5164894.22,4513224.75
2015-04-03,3803.383,3864.405,3863.929,3792.211,4730333.0,38.145,1.0,3806.895,3744.753,3588.909,5052339.3,5121265.88,4608283.5
2015-04-07,3899.42,3961.666,3961.378,3891.728,5704475.5,97.449,2.52,3841.857,3772.118,3621.858,5063829.7,5155650.58,4732759.55
2015-04-08,3976.532,4000.22,3994.811,3903.648,6180854.0,33.433,0.84,3891.239,3802.458,3657.295,5176648.4,5134181.33,4898893.46
2015-04-09,4006.13,4016.396,3957.534,3900.027,5851768.0,-37.277,-0.93,3920.687,3832.139,3690.626,5452085.4,5197471.78,5049989.1
2015-04-10,3947.492,4040.348,4034.31,3929.319,4842836.0,76.776,1.94,3962.392,3867.36,3724.876,5462053.3,5193108.18,5113483.35
2015-04-13,4072.723,4128.072,4121.715,4057.293,5898142.5,87.405,2.17,4013.95,3910.422,3762.316,5695615.2,5373977.25,5244185.4
2015-04-14,4125.782,4168.346,4135.565,4091.257,6106835.5,13.85,0.34,4048.787,3945.322,3796.629,5776087.2,5419958.45,5349960.96
2015-04-15,4135.648,4175.494,4084.163,4069.007,6130058.0,-51.402,-1.24,4066.657,3978.948,3825.695,5765928.0,5471288.2,5395994.11
2015-04-16,4055.916,4195.305,4194.823,4031.244,5512429.5,110.66,2.71,4114.115,4017.401,3856.571,5698060.3,5575072.85,5399007.01
2015-04-17,4254.723,4317.223,4287.296,4238.91,7017062.0,92.473,2.2,4164.712,4063.552,3891.822,6132905.5,5797479.4,5481186.81
2015-04-20,4301.352,4356.001,4217.077,4190.681,8571328.0,-70.219,-1.64,4183.785,4098.867,3921.81,6667542.6,6181578.9,5651422.39
2015-04-21,4212.185,4294.375,4293.623,4188.569,6344706.5,76.546,1.81,4215.396,4132.092,3952.105,6715116.8,6245602.0,5700626.29
2015-04-22,4304.597,4400.193,4398.494,4297.951,6803051.0,104.871,2.44,4278.263,4172.46,3987.459,6849715.4,6307821.7,5721001.51
2015-04-23,4414.485,4444.41,4414.508,4358.844,6673446.5,16.014,0.36,4322.2,4218.157,4025.148,7081918.8,6389989.55,5793730.66
2015-04-24,4355.951,4416.376,4393.686,4318.119,6285550.0,-20.822,-0.47,4343.478,4254.095,4060.728,6935616.4,6534260.95,5863684.56
2015-04-27,4441.929,4529.735,4527.396,4441.929,6710885.0,133.71,3.04,4405.541,4294.663,4102.543,6563527.8,6615535.2,5994756.23
2015-04-28,4527.635,4572.391,4476.215,4432.904,7676764.0,-51.181,-1.13,4442.06,4328.728,4137.025,6829939.3,6772528.05,6096243.25
2015-04-29,4446.119,4499.945,4476.62,4398.639,5198342.0,0.405,0.01,4457.685,4367.974,4173.461,6508997.5,6679356.45,6075322.33
2015-04-30,4483.013,4507.344,4441.655,4441.054,5267280.0,-34.965,-0.78,4463.114,4392.657,4205.029,6227764.2,6654841.5,6114957.18
2015-05-04,4441.343,4487.57,4480.464,4387.426,4941734.0,38.809,0.87,4480.47,4411.974,4237.763,5959001.0,6447308.7,6122394.05
2015-05-05,4479.848,4488.865,4298.706,4282.237,5728586.0,-181.758,-4.06,4434.732,4420.137,4259.502,5762541.2,6163034.5,6172306.7
2015-05-06,4311.641,4376.353,4229.266,4187.368,4817330.0,-69.44,-1.61,4385.342,4413.701,4272.896,5190654.4,6010296.85,6127949.43
2015-05-07,4197.896,4213.764,4112.214,4108.009,3945666.5,-117.052,-2.77,4312.461,4385.073,4278.767,4940119.3,5724558.4,6016190.05
2015-05-08,4152.984,4206.86,4205.917,4099.042,3974281.0,93.703,2.28,4265.313,4364.214,4291.186,4681519.5,5454641.85,5922315.7
2015-05-11,4231.271,4334.877,4333.584,4187.82,4887505.0,127.667,3.04,4235.937,4358.204,4306.149,4670673.7,5314837.35,5924549.15
2015-05-12,4342.37,4402.309,4401.219,4317.975,5218664.0,67.635,1.56,4256.44,4345.586,4320.125,4568689.3,5165615.25,5890575.23
2015-05-13,4402.378,4415.629,4375.76,4342.481,5104905.0,-25.459,-0.58,4285.739,4335.541,4332.134,4626204.3,4908429.35,5840478.7
2015-05-14,4372.816,4397.745,4378.311,4329.042,4490779.5,2.551,0.06,4338.958,4325.71,4346.842,4735226.9,4837673.1,5758514.78
2015-05-15,4366.822,4366.822,4308.691,4278.553,4397062.0,-69.62,-1.59,4359.513,4312.413,4352.535,4819783.1,4750651.3,5702746.4
2015-05-18,4277.895,4324.826,4283.491,4260.509,3800574.5,-25.2,-0.58,4349.494,4292.716,4352.345,4602397.0,4636535.35,5541922.03
2015-05-19,4285.777,4418.403,4417.552,4285.777,4367352.0,134.061,3.13,4352.761,4304.601,4362.369,4432134.6,4500411.95,5331723.22
2015-05-20,4434.979,4520.538,4446.288,4432.279,5141062.0,28.736,0.65,4366.867,4326.303,4370.002,4439366.0,4532785.15,5271541.0
2015-05-21,4456.435,4530.478,4529.422,4438.258,4649965.0,83.134,1.87,4397.089,4368.024,4376.548,4471203.1,4603215.0,5163886.7
2015-05-22,4584.984,4658.273,4657.596,4562.989,6555913.0,128.174,2.83,4466.87,4413.191,4388.703,4902973.3,4861378.2,5158010.03
2015-05-25,4660.075,4814.672,4813.798,4656.825,6824614.0,156.202,3.35,4572.931,4461.213,4409.708,5507781.2,5055089.1,5184963.22
2015-05-26,4854.85,4911.685,4910.897,4779.075,7048928.5,97.099,2.02,4671.6,4512.181,4428.883,6044096.5,5238115.55,5201865.4
2015-05-27,4932.846,4958.156,4941.714,4857.056,6811654.0,30.817,0.63,4770.685,4568.776,4452.158,6378214.9,5408790.45,5158609.9
2015-05-28,4943.742,4986.503,4620.266,4614.241,7829646.0,-321.448,-6.5,4788.854,4592.972,4459.341,7014151.1,5742677.1,5290175.1
2015-05-29,4603.465,4698.193,4611.744,4431.563,6112624.0,-8.522,-0.18,4779.684,4623.277,4467.845,6925493.3,5914233.3,5332442.3
2015-06-01,4633.098,4829.502,4828.738,4615.231,5933890.5,216.994,4.71,4782.672,4677.802,4485.259,6747348.6,6127564.9,5382050.13
2015-06-02,4844.704,4911.574,4910.527,4797.552,6237481.0,81.789,1.69,4782.598,4727.099,4515.85,6585059.1,6314577.8,5407494.88
2015-06-03,4924.381,4942.065,4909.978,4822.442,6114538.5,-0.549,-0.01,4776.251,4773.468,4549.885,6445636.0,6411925.45,5472355.3
2015-06-04,4912.945,4947.965,4947.102,4647.407,6749524.0,37.124,0.76,4841.618,4815.236,4591.63,6229611.6,6621881.35,5612548.18
2015-06-05,5016.088,5051.626,5023.096,4898.068,7722408.0,75.994,1.54,4923.888,4851.786,4632.489,6551568.4,6738530.85,5799954.53
2015-06-08,5045.694,5146.949,5131.881,4997.481,8550351.0,108.785,2.17,4984.517,4883.594,4672.404,7074860.5,6911104.55,5983096.83
2015-06-09,5145.978,5147.454,5113.534,5042.963,7298938.0,-18.347,-0.36,5025.118,4903.858,4708.019,7287151.9,6936105.5,6087110.53
2015-06-10,5049.197,5164.162,5106.036,5001.489,5969690.0,-7.498,-0.15,5064.33,4920.29,4744.533,7258182.2,6851909.1,6130349.78
2015-06-11,5101.44,5122.457,5121.593,5050.765,5639905.0,15.557,0.3,5099.228,4970.423,4781.697,7036258.4,6632935.0,6187806.05
2015-06-12,5143.343,5178.191,5166.35,5103.401,6256278.5,44.757,0.87,5127.879,5025.884,4824.58,6743032.5,6647300.45,6280766.88
2015-06-15,5174.418,5176.795,5062.993,5048.742,6378040.0,-103.357,-2.0,5114.101,5049.309,4863.555,6308570.3,6691715.4,6409640.15
2015-06-16,5004.41,5029.68,4887.43,4842.1,5508014.0,-175.56,-3.47,5068.88,5046.999,4887.049,5950385.5,6618768.7,6466673.25
2015-06-17,4890.55,4983.66,4967.9,4767.22,5371011.5,80.47,1.65,5041.253,5052.792,4913.13,5830649.8,6544416.0,6478170.73
2015-06-18,4942.52,4966.77,4785.36,4780.87,5074409.0,-182.54,-3.67,4974.007,5036.617,4925.927,5717550.6,6376904.5,6499392.93
2015-06-19,4689.93,4744.08,4478.36,4476.5,4526896.5,-307.0,-6.42,4836.409,4982.144,4916.965,5371674.2,6057353.35,6397942.1
2015-06-23,4471.61,4577.94,4576.49,4264.77,4735261.5,98.13,2.19,4739.108,4926.605,4905.099,5043118.5,5675844.4,6293474.48
2015-06-24,4604.58,4691.77,4690.15,4552.13,5430037.0,113.66,2.48,4699.652,4884.266,4894.062,5027523.1,5488954.3,6212529.9
